0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:09 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:10 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:19 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:19 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:19 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:35 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:35 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:04:35 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:23 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:23 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:23 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:23 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 200 8257
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:23 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:42 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:42 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:42 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:51 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:52 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:52 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:08:52 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:09:36 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:09:36 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:09:36 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:09:36 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:10:05 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:10:05 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:10:05 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:10:05 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:13:39 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:13:39 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:13:39 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:13:39 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:13:39 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:16:41 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:16:41 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:16:41 -0500] "GET /SistemaVentas/img/ueb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:16:41 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:11:18:58 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2706
